path,label
./CNN/dataset/robot motion planning.png,Showing 1-25 of 35,113 res
./CNN/dataset/bio-inspired computing.png,Showing 1-25 of 2,400 resu
./CNN/dataset/real-time big data processing.png,Showing 1-25 of 7,316
./CNN/dataset/cloud-native AI solutions.png,Showing 1-22 of 22
./CNN/dataset/secure multi-party computation.png,Showing 1-25 of 5,779
./CNN/dataset/speech recognition systems.png,Showing 1-25 of 40,327
./CNN/dataset/algorithmic fairness in AI.png,Showing 1-25 of 145
./CNN/dataset/RFID technology.png,Showing 1-25 of 25,323
./CNN/dataset/virtual reality therapy.png,Showing 1-25 of 1,692
./CNN/dataset/edge AI in IoT devices.png,Showing 1-25 of 1,374
./CNN/dataset/fuzzy logic systems.png,52,870
